AñoMes,País,Continente,Score,year_month_str
2020-08,Afghanistan,Asia,-0.043625132242838545,2020-08
2020-08,Australia,Oceanía,-0.20074448585510254,2020-08
2020-08,Cameroon,África,-0.47452545166015625,2020-08
2020-08,Canada,América del Norte,-0.12024138523982121,2020-08
2020-08,France,Europa,0.036857717177447145,2020-08
2020-08,India,Asia,0.07902205966542435,2020-08
2020-08,Ireland,Europa,-0.38733367919921874,2020-08
2020-08,Jamaica,América del Norte,-0.11985921859741212,2020-08
2020-08,Mexico,América del Norte,-0.0859998067220052,2020-08
2020-08,Morocco,África,-0.1289232694185697,2020-08
2020-08,New Zealand,Oceanía,-0.19335174560546875,2020-08
2020-08,Nigeria,África,-0.17027587890625,2020-08
2020-08,Pakistan,Asia,0.2442672366187686,2020-08
2020-08,Peru,América del Sur,-0.19150473854758523,2020-08
2020-08,Philippines,Asia,0.018902252460348195,2020-08
2020-08,Russian Federation,Europa,0.08224333887514859,2020-08
2020-08,Singapore,Asia,-0.05318514506022135,2020-08
2020-08,South Africa,África,-0.0455230712890625,2020-08
2020-08,United Kingdom,Europa,-0.004198368931315957,2020-08
2020-08,United States,América del Norte,-0.15307369494485012,2020-08
2020-08,Uruguay,América del Sur,-0.45079179243607953,2020-08
2020-08,"Venezuela, Bolivarian Republic of",América del Sur,-0.1385650634765625,2020-08
2020-08,Zimbabwe,África,-0.031097412109375,2020-08
2020-09,Afghanistan,Asia,-0.4326578776041667,2020-09
2020-09,Australia,Oceanía,-0.15171770895681075,2020-09
2020-09,Cameroon,África,-0.4805973597935268,2020-09
2020-09,Canada,América del Norte,-0.197678784289992,2020-09
2020-09,France,Europa,-0.20550951750382132,2020-09
2020-09,India,Asia,-0.06470429872211658,2020-09
2020-09,Ireland,Europa,-0.08235480568625711,2020-09
2020-09,Jamaica,América del Norte,-0.04839019775390625,2020-09
2020-09,Mexico,América del Norte,-0.31908641142003674,2020-09
2020-09,Morocco,África,-0.08006688168174342,2020-09
2020-09,New Zealand,Oceanía,-0.1713415781656901,2020-09
2020-09,Nigeria,África,-0.14940357208251953,2020-09
2020-09,Pakistan,Asia,-0.15510026613871256,2020-09
2020-09,Peru,América del Sur,-0.3346828113902699,2020-09
2020-09,Philippines,Asia,-0.21918982551211402,2020-09
2020-09,Russian Federation,Europa,-0.17113399505615234,2020-09
2020-09,South Africa,África,-0.071365871944943,2020-09
2020-09,United Kingdom,Europa,-0.11440901998746193,2020-09
2020-09,United States,América del Norte,-0.16052061419024516,2020-09
2020-09,Uruguay,América del Sur,-0.09622268676757814,2020-09
2020-09,"Venezuela, Bolivarian Republic of",América del Sur,-0.1885223388671875,2020-09
2020-09,Zimbabwe,África,-0.3904789515904018,2020-09
2020-10,Afghanistan,Asia,0.2850103378295898,2020-10
2020-10,Australia,Oceanía,0.12905442714691162,2020-10
2020-10,Cameroon,África,-0.5235519409179688,2020-10
2020-10,Canada,América del Norte,-0.08700204932171365,2020-10
2020-10,France,Europa,0.06316375732421875,2020-10
2020-10,India,Asia,-0.08411271454857998,2020-10
2020-10,Ireland,Europa,0.03669420878092448,2020-10
2020-10,Jamaica,América del Norte,-0.1455402374267578,2020-10
2020-10,Mexico,América del Norte,-0.1673633030482701,2020-10
2020-10,Morocco,África,0.10191672188895089,2020-10
2020-10,New Zealand,Oceanía,-0.33331595526801217,2020-10
2020-10,Nigeria,África,-0.8107452392578125,2020-10
2020-10,Pakistan,Asia,0.012468099594116207,2020-10
2020-10,Peru,América del Sur,0.04223060607910155,2020-10
2020-10,Philippines,Asia,0.0378901163736979,2020-10
2020-10,Russian Federation,Europa,0.1565685272216797,2020-10
2020-10,Singapore,Asia,-0.4971027374267578,2020-10
2020-10,South Africa,África,-0.2798055013020833,2020-10
2020-10,United Kingdom,Europa,-0.13119058609008788,2020-10
2020-10,United States,América del Norte,-0.12136835451947142,2020-10
2020-10,Uruguay,América del Sur,-0.29821353488498265,2020-10
2020-10,"Venezuela, Bolivarian Republic of",América del Sur,-0.31060791015625,2020-10
2020-10,Zimbabwe,África,-0.26214599609375,2020-10
2020-11,Afghanistan,Asia,-0.10236740112304688,2020-11
2020-11,Australia,Oceanía,0.20133420695429263,2020-11
2020-11,Cameroon,África,-0.1511776818169488,2020-11
2020-11,Canada,América del Norte,0.06693158576737589,2020-11
2020-11,France,Europa,-0.14416750923531954,2020-11
2020-11,India,Asia,0.08703092087146848,2020-11
2020-11,Ireland,Europa,0.10953247206551688,2020-11
2020-11,Jamaica,América del Norte,-0.10141446193059285,2020-11
2020-11,Mexico,América del Norte,-0.18378334779005784,2020-11
2020-11,Morocco,África,-0.04347689946492513,2020-11
2020-11,New Zealand,Oceanía,-0.1030113146855281,2020-11
2020-11,Nigeria,África,-0.021404315685403765,2020-11
2020-11,Pakistan,Asia,0.059453305509901536,2020-11
2020-11,Peru,América del Sur,-0.14765222449051707,2020-11
2020-11,Philippines,Asia,-0.014977079449277939,2020-11
2020-11,Russian Federation,Europa,-0.16585653799551506,2020-11
2020-11,Singapore,Asia,0.08387748054836107,2020-11
2020-11,South Africa,África,0.06999945640563965,2020-11
2020-11,United Kingdom,Europa,0.03283737468831285,2020-11
2020-11,United States,América del Norte,0.05566783466136099,2020-11
2020-11,Uruguay,América del Sur,-0.04037176887944059,2020-11
2020-11,"Venezuela, Bolivarian Republic of",América del Sur,-0.1999612996275996,2020-11
2020-11,Zimbabwe,África,-0.02594913974885017,2020-11
2020-12,Afghanistan,Asia,-0.1645952051336115,2020-12
2020-12,Australia,Oceanía,-0.07023497249769128,2020-12
2020-12,Cameroon,África,0.12372493743896484,2020-12
2020-12,Canada,América del Norte,-0.11255749742118187,2020-12
2020-12,France,Europa,-0.12937504053115845,2020-12
2020-12,India,Asia,0.03713170530970919,2020-12
2020-12,Ireland,Europa,0.09120107316351556,2020-12
2020-12,Jamaica,América del Norte,0.09015253970497532,2020-12
2020-12,Mexico,América del Norte,-0.23347262064615884,2020-12
2020-12,Morocco,África,-0.1614931583404541,2020-12
2020-12,New Zealand,Oceanía,-0.19238715171813964,2020-12
2020-12,Nigeria,África,-0.25930235120985246,2020-12
2020-12,Pakistan,Asia,-0.05843202273050944,2020-12
2020-12,Peru,América del Sur,-0.08808629329387958,2020-12
2020-12,Philippines,Asia,-0.12715556170489337,2020-12
2020-12,Russian Federation,Europa,-0.14619063153678988,2020-12
2020-12,Singapore,Asia,0.2314450377124851,2020-12
2020-12,South Africa,África,-0.27795539088755344,2020-12
